reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOFPzxKBtCJVYuCqVKUqzb43OuQfUkXbATSVXFOLksqexNJVuwT1TrKmSOA8DJfPIlnl_ai0v9KFvbnOmA,Ryan S,https://play-lh.googleusercontent.com/a-/AOh14GgkbIP99BEXiTgTMlR9bGBZTymtHtUhQTZbmRJa,"Welcome to the socialist network. Not user friendly is an understatement. Difficult to engage followers, posts needing approval should also direct you via a click vs instructions. Facebook openly limits organic followers from seeing posts unless you pay to advertise. They'll also openly limit your ads if they decide your views don't fit their agenda. This app is as worthless as the rest of their apps.",1,24,335.1.0.36.116,2021-12-01 18:11:59,,,most_relevant,com.facebook.pages.app
gp:AOqpTOE_IousAOeU7PPEloktx8BWZAn-ifF8616_gqK_-aEMkzI1YqcCJ7g3vd0wg5XlCy6MYEOOahsJAUCNxw,Kayla Traxler,https://play-lh.googleusercontent.com/a/AATXAJyFp5Z2InQ0IxsUq6Foo7q8Fr-iaAl5MQUWFQs=mo,"Doesn't appear to do anything the regular app doesn't do. Difficult to navigate. Things like Events won't open. No place to put offers/sales in. If there is, I haven't found it.",1,0,335.1.0.36.116,2021-11-29 12:32:49,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEAsIxaqUa6ygAU9PfCLTD9Q2wiyzi-aRRvq1tpphZFZZA-cPOXiZ7iRA5TfzNauM6vw3Ge6p0nSS8_tw,Patrick Benard,https://play-lh.googleusercontent.com/a-/AOh14GgBr2qq5x4wcZ4WruS5OaL9_R5zY0A0J1aLCYDutw,"Each time you receive a massage, it never appears instantly at time it doesn't appears until you refresh it about multiple times. Also you'll have to create a delete button where by you can delete a send massage because we're not robots we all do mistake and can't cancel it you have to fix this issues",1,2,335.1.0.36.116,2021-11-17 11:09:29,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFJ2o3n56mwJQDqcr516A1ofca_zP_0vy3SARc1uAIbxkzzfgsDHlL4JVYT_ZKv8KwNqnYNhfdy1O6c3g,Mendy Colby,https://play-lh.googleusercontent.com/a/AATXAJwAdPVBQUzd0CCIxZ7E9768WvxA3ijfaT8P4UGT=mo,"i rarely get client's notifications. sometimes i open them and if they are long, i can't open the bottom half. i have had clients tell me that they often can't reach my page.",1,2,335.1.0.36.116,2021-11-21 06:26:54,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFMRQnRX0dBFxPRz2qi1Slb3Z4xcRtwO5sVTrCr-YVXrR6JaZv4-shWemYzd7La5KXdDtdYuORfHBATYg,Kathy Byrd,https://play-lh.googleusercontent.com/a-/AOh14Gggvg66RXNH3q06l41s2I-7wTa9zwN-6UAA137P,I loved this up until the last few days -- I'm trying to schedule posts and I just keep getting upload failed. It WAS a very helpful small business tool.,1,2,335.1.0.36.116,2021-11-21 03:56:03,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEORfoUpHGe4AIcLNGN22M_TUy-MJyAvCaPbMnD_naxh-_0LnTbkQWE-NEc5zBk73aFC-Q6DgdxMnTfYw,Tiffany Wallace,https://play-lh.googleusercontent.com/a/AATXAJz1ovPEIBBNH-aw_aGAVkuRYPRfEGicW4YTX_pD=mo,"Each update is progressively worse. I have lost timestamps on messages then today lost them on posts. Can't see post contents, have to leave Business Suite, go to regular Facebook read post then back to BS to post to page. So much better when it was Pages.",1,4,335.1.0.36.116,2021-11-16 09:08:01,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHNghKFSNqFd8YRBpFurjesXt-QecpyRwxZQr67PaRnL5fWbYFAFv8gIPm8lo9GJotaFa5J80qEhYHVDA,Conny Finch,https://play-lh.googleusercontent.com/a-/AOh14Gg-1Wb6-ecReWYm-_teYw65LPVOOtzUPvnCtccMKUc,We have no dates on our posts which is needed in Animal Rescue. The button in the comment area is useless. Leave all comments visible on posts. Why can't I delete a photo album or rename it at least from my mobile device? Please give us the old version back if you can't get this working the right way.,1,11,335.1.0.36.116,2021-11-23 12:02:15,,,most_relevant,com.facebook.pages.app
gp:AOqpTOE2MkCJaKAAJ-OQqw7_YsBM6ozjNZ9z0j8vKe1nFZTbQp1REZM116eIn-nzM77qggFayYcwxhg4WixsIA,John Bradley Peele,https://play-lh.googleusercontent.com/a-/AOh14GhGPOiECfRz694D1cR1kmk51lnadqC7VplhnF2VUw,"Its impossible to comment as my page on other pages, on both this app, and the website... So many utterly ridculious issues like this... this is one of the most basic features that doesn't work anymore because Facebook is bloated and mostly broken",1,2,335.1.0.36.116,2021-11-25 10:30:00,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEajHVIAEdK3OQBIpihPTl-k8uVTjiEEwLIarZrImitWUtEWRKMPwSYjEAU6HJttfIbrHxT5qstO-ePDg,C Jarvis,https://play-lh.googleusercontent.com/a/AATXAJypAzhIpn2hbS3HAYPS6ExwO3SuPyIctoh8GM1r=mo,A great app for being able to view the hacker that got into your page that Facebook refuses to remove. Less functional than the mobile site and even less functional than the desktop.,1,0,335.1.0.36.116,2021-11-30 03:51:35,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFKVVw9VKX1soObVZezwCqRU5axZcsU_uyc9y-3sw7wkiyf_MuezR5mqTX4O3y1YSWCCQTjIOfCCQZ11Q,zach wroblewski,https://play-lh.googleusercontent.com/a-/AOh14GiZ_kD5WxxcbIbUU4XRJCFBPGRNILIHzeiJpZvAEQ,"Original: 7/29/21 So many things do not work in this app. I am unable to see ""Activities"" and clicking on Reactuons of a post no longer shows each of the people reacting to a post so we can invite them to like our page. Each of these just go to a blank screen. Edit: 11/17/21 Still a terrible app.... still does not allow you to see reactions on posts. Continuously shows unread notifications when there are not any new ones. Gives you notifications for ""There are no comments on this post!""...",1,7,335.1.0.36.116,2021-11-18 06:43:22,,,most_relevant,com.facebook.pages.app
gp:AOqpTOH7tN7fdKwBa0Nci0ZKi2eX3v8J1D2iDj7euygPtWfuMS5dYRpT6xYM0GIvadKfffPRj5fH1ce8yAk8xA,Michael Gella,https://play-lh.googleusercontent.com/a-/AOh14Gjom-2gzQOAicA9GbY3sqwPSFKRlyslpqkS6CECrg,"Completely unresponsive, you move a conversation to done and it just stays in your main until one day it just disappears and you dont recieve a message notification sometimes until half an hour after the customer sent it.",1,3,335.1.0.36.116,2021-11-17 19:00:52,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGofIKjhGuLE_g21aGyY0urz7BOFZakBYPaxD76k6k7TR0G-24qVBk4PVPkZJeO65dD7caPCCzLHQ2o-Q,Devon W,https://play-lh.googleusercontent.com/a/AATXAJyvWu-YHAw__LSoGlfmiS2nDh8LyMb-YQ2Jdsw=mo,Sucks so does fb none of their apps are compatible with their platform and having them all on one phone it can't decide which one to use and then you lose total functionality of whatever you are trying to do.,1,0,335.1.0.36.116,2021-12-04 01:16:58,,,most_relevant,com.facebook.pages.app
gp:AOqpTOENXmwWv2ZirpR3oOPx4x9_bZf22AR6IDO2C_uK6_Pc6MHVrUt2Cx2luVWYdYnopmIsEasAHBNzKdsJ4A,Ian Palmer,https://play-lh.googleusercontent.com/a/AATXAJw_OqxruTOaCgeHInNAXi3q8rr7oRmvY5XbSNqJ4A=mo,1. Doesn't show date and time on posts anymore. 2. Can't schedule posts when using the share button. 3. Limits all videos to 30 seconds.,1,5,335.1.0.36.116,2021-12-02 01:03:41,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEfmtJNeZtAvcijgWl8vHQMqHm6KlQ-XHXAN15Q-iI3iuDkijk_DVFSH-MlkV9z5-lYM150VWPltD88_w,Tye Sussmann,https://play-lh.googleusercontent.com/a-/AOh14GgRSScmqsRoz9lWfmo_DcVo9PYQrrZOfIVQqylcfeA,"Fails to upload for scheduled posts, messes up timing for scheduled posts, force stops all the time, layout is terrible. Come on.",1,1,335.1.0.36.116,2021-11-17 03:37:49,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFYYMIr1eM7iq23GdTfkK3tjsdsjJYh3HTrgIXsXPmzjbLlRYOckqWvIUm6BNxfSlicZ86odxGmQ-w-1A,Shannon Hughes,https://play-lh.googleusercontent.com/a-/AOh14Gjp1xsdqg_Ni3hW_m1KLJ2ADX3lHrsfIUSMsglR,"This is suppose to be helpful for business but it's more aggravating than anything. Can't see the messages when they come in, can't comment half the time, just continuously says it's posting and it don't..It's frustrating! And you have to constantly stop the app just to get the most recent notifications. So your updates are pointless. They fix nothing.",1,23,334.0.0.37.117,2021-12-01 03:33:59,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGevd_3AQFuVOEqGoxx0q4rKozBVGl3VaQQ5GD0ghMximb5EavCEIZYO8z1aPLv1R9Xv-8Bh1sCb1p-7A,Jennifer Brouillard,https://play-lh.googleusercontent.com/a-/AOh14GjXhNiZ-ILRyMy1JEr52mX6XkhVQa8go0GQcPR3_A,"This app is so outdated. My ""recent posts"" are from over a year ago. (Tried deleting and redownloading and that didn't help) How am I supposed to use this as my main way to interact on my business page from my phone when it is outdated and not user friendly?",1,0,335.1.0.36.116,2021-12-04 20:59:31,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHX-9SbywfPvtj_O9jwOTXygLqVTomKvYZZCYjZnVaQfX0QITHtd1onsyZal_lPB3-Ax3dPTkPpGRk4JQ,Paul Wright,https://play-lh.googleusercontent.com/a-/AOh14Gi8Ef5Jcrpg_egKI00ymOHxxJRoyydFr50iu0oINA,"Every update makes this platform a little bit worse. Keep it simple, stupid. My account has been locked for days and there is zero support to fix it",1,2,335.1.0.36.116,2021-11-17 17:19:52,,,most_relevant,com.facebook.pages.app
gp:AOqpTOG1r-jGzkykhTAzDAC2v1FkQRX61povxd-aytQRvRcxVAzlCDFp-LSh349h8vEbTe5RUm74vgQP4cOTZA,Kaung Htike Kyaw,https://play-lh.googleusercontent.com/a/AATXAJwmafRb1u9vqJTeGlH78wADmXWbWLrUY6hWV2iP=mo,"Stupid app. I can't open the app even my network connection is in great condition. If there is 0, i wouls give 0.",1,0,335.1.0.36.116,2021-11-24 21:42:42,,,most_relevant,com.facebook.pages.app
gp:AOqpTOF4Aj0bLEp3l1LIqPv1YGTmsKzAoMyV0CSKee-LxIyQSDCOgsBm4PLk2LdQ-Meiov9nyufXScbwuqtEDQ,Morgan Dockins,https://play-lh.googleusercontent.com/a/AATXAJw-5S6SCzfgbgyWQHIq_raGBSAgYIHnq-RPSwMd=mo,"It would be great if all features worked. I can't edit my page info to update my hours. Update: dropped to 1 star. I can't post photos through the app, it keeps saying I have no connection (but I can post them through the Facebook app just fine). I have no way to contact anyone about the issue. I tried reporting the problem and got literally no response. I still can't edit page info properly. FIX IT PLEASE",1,116,334.0.0.37.117,2021-11-08 19:25:30,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGrsLUcOqQ4FM-VEun4KkA9KZvdc0x9apiAVJxWYeMbR14RhJwGlUukA_pXq2D4ymgZ_Ihr8RnwBSVM1Q,David comer,https://play-lh.googleusercontent.com/a/AATXAJyXjF-lkzIEmQW5L3TBLYfpTRyjGIUXja7uyKeg=mo,"New layout is awful, half the features dont work on mobile. Just like the desktop changes, I click more unnecessary buttons to get to where I need to go. Now they're changing your Ads Manager on top of it so we dont even bother running the ads anymore with our business. Everytime we ran an ad to get their ""claimed credit"" we never got it. Just no longer user friendly in all aspects",1,40,334.0.0.37.117,2021-11-13 20:23:01,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFVKnYgF6dTboOyox5H5ZpKp-nDHAMbQfLrjBaGoeN_uoBY_9Q3ILGLgy_0-GFED76hHAijjbSHCPLh2w,Carlos Tonos,https://play-lh.googleusercontent.com/a/AATXAJzc64GDXRMwDtz9A-LXS8I1WpntrVb8rrc1bMx6tQ=mo,This app is getting worse and worse. I am not receiving notifications. If I do not check it consistently I wouldn't know I received a message from a costumer. I have miss several important messages because of it. You can not interact properly with people who like your post. Is impacting more my business than helping.,1,36,334.0.0.37.117,2021-11-07 17:52:31,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFQ40kCF6rT4vwM5Dt1aFkCPRCZXODxJ2gzH4STL7rkF0WwYwNQn5X-r6CQSC2LR2f8XvrBfKGf6HtWvg,Hunter Markavich,https://play-lh.googleusercontent.com/a-/AOh14GgAPiWSNu-ymTdQSxokhwHXeIVJNiAI_BcPsVaE5Q,"Nearly unusable. Now scheduling posts never work, as they seem to be removed minutes later. Message logs will never load and have to be completely logged out and logged in to fix. Notifications dont come through anymore and posts keep being removed for ""spam"" multiple times despite it only being posted once. This is the epitome of an app that works against its userbase.",1,48,334.0.0.37.117,2021-11-11 11:22:20,,,most_relevant,com.facebook.pages.app
gp:AOqpTOF7DbWraytN8RN7jxS8X3zQEag2F8219d1FmnrE2KPeJaKvT0ao9Unn9DkWU2KVbQ3Ii9cxuYy8p733Eg,Mandy Hardy,https://play-lh.googleusercontent.com/a-/AOh14GiPALf2uM1XHuc0S64ZcWyjkUq8UIwUB105I7SawQ,Lot of bugs and sometimes delay in messages showing up but you get the notification you just can't see the message in app. Also you cannot reply via notification bar. It says sent but never sends . So you got mad customers that you replied to but never received it until you figure out you can quickly reply via notification bar or have to wait to see message because the app won't display it.,1,41,334.0.0.37.117,2021-11-11 22:05:33,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGJJJ8L2g7vTkEGPTyYK0rg9HlRa5l90t5092b-EdP9QfZEMv6joIJlh_ntgGdbikoW3HizwJ4gMDSEXA,Bassam Bussal,https://play-lh.googleusercontent.com/a-/AOh14GjZqIC7kyAFeGbH4tGo3d5F8FOf3MJWO7P7sjQG,"Absolute rubbish, when clicking on notifications regarding new comments the app only opens the post and you go search for the comment yourself, message responds from other admins won't appear to you unless you reload the app, such a price of rubbish",1,4,335.1.0.36.116,2021-11-15 04:41:43,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFCrx0AF_7s7XTuChHNtzKY3n8VEYGN47D2PQxPagN4GTRfjymQWkVdNgkiCkRjkE02XIHnbLPosOfefg,Elizabeth C.,https://play-lh.googleusercontent.com/a-/AOh14Gg5agk61dZozVkPdmlcLLRtp4UiiO9DTukCFp115_o,awful interface. posts hardly EVER go though. extremely difficult to use. have tried to posts simple hours of operation updates and post never posts. it seems that when I use the business suite nothing posts. I do not have the Facebook app on my phone and feel as though I am being forced to use that OR boost my posts though Facebook ads. I sit here and wonder what the heck is the point of this app....it must be to frustrate business owners,1,69,333.0.0.36.116,2021-11-06 22:07:45,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHiOnBhHtgelLn7OHC-ctw9iDFsJn6L4jKlziTprohHkzcp-2U7VDK4A3wfKDfDYGxbbOYiyQzvOIxH-g,The Troutdale House Coordinator,https://play-lh.googleusercontent.com/a-/AOh14GimwcXizBhMeFr1yfvsiWV4VfNl4UVSoVrqstfP,"Please fix the bugs in this app! Why do posts fail to upload randomly? And why will it not work for weeks and months at a time? I've cleared cache, Uninstalled and reinstalled, searched the web trying to find a fix for the issues I've been having (there's no answers out there). Then it magically starts working again, only to be disappointed later when it decides to stop working. Seriously fb, get it together and fix this. If you are going to force us to use it, make sure it works correctly!",1,94,331.0.0.25.113,2021-10-26 01:07:43,,,most_relevant,com.facebook.pages.app
gp:AOqpTOFxP_hJL9SOtzstksuKXvre_1rja9jRnie0V9xSs5Ka41BBJn8IkYrmMIrKJE9AV_hVbb5XOOWZNWVLmQ,Zoey Frasier,https://play-lh.googleusercontent.com/a-/AOh14GjbFEadc92Fump5Dlp4A3l4TM5oecBaalTbSDkw,"The latest update has been buggier and laggier than ever. It will sit and refresh the feed for minutes at a time and then may or may not even populate the latest post. Another issue is that at least half the time I try to post it gives a ""something went wrong, please try to post later"" error. It doesn't save any of my post and then I'll have to retype the entire post. I manage several FB pages for work and this is getting almost impossible to use on mobile.",1,153,331.0.0.25.113,2021-10-20 15:59:41,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHmtj3mUWizkkl9pMNGIxJV6Z-G0nNlfejp5DmjjxjPyBREMB1a85W_XNWRqN3EOB1EGd0KxCBKRMLFDg,Karla Salazar,https://play-lh.googleusercontent.com/a-/AOh14Gg9g1PDxalKnclab5kU006wiOmQgMufNE8z3aI0kg,It only shows old post on my end I uninstalled the app and downloaded again to see if it fixed the issue. Nope still the same.,1,2,335.1.0.36.116,2021-11-13 20:28:17,,,most_relevant,com.facebook.pages.app
gp:AOqpTOF-iqbymfBCsOpJV4mVDxDVWG8q90b5BcpppVAemF4Kc-B2FRZG_hglgf6XxhTxnGObh_PI5g08COo8Bw,Kristy Colvin,https://play-lh.googleusercontent.com/a-/AOh14GiupbwY4egN9Ob9Mty0pfSU_DBXhWo13EgFpTvRPeY,"When you receive a message on your Facebook page, you can not access it. This has been an ongoing problem. Please fix this problem!",1,2,335.1.0.36.116,2021-11-14 20:30:59,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGMfBFJ7c6psBpMyZHkSE9H-gnrI3jq6eu39MMDw52U1OHSDYfDqcAhom935BUuyLBpSCgYDJ0etalQ8w,Ray Gilmore,https://play-lh.googleusercontent.com/a-/AOh14GgEmkgxFeEX4tTJCf3hsOxnfF6xduP6qse3Iv_fCg,"Update: This app is just getting worse!!!!! I would give it zero stars, if I could. Come on Facebook, do better. Roll it back to the previous version and throw this one in the trash! Notifications for messages and comments showing up over a week late? The app is a mess. It is getting worse! Scheduled posts, state that they ready..... then they disappear. A whole week of them, gone!!! Do Better!",1,378,331.0.0.25.113,2021-10-16 05:14:08,,,most_relevant,com.facebook.pages.app
gp:AOqpTOH4cUDFnJUdcgqCmywoOeoCGamtiM2EbVZQfRd3rV94yzyEWF_5CssRIugmG7xgqLjOSy9UGFApcO4i7A,Kim Viverette,https://play-lh.googleusercontent.com/a-/AOh14GhFhAo24wqwnnoW5k0Du_1Mij-5rbMDSkcXWAabHA,Whatever update you guys keep doing. It's not working. This used to be a great app but all the updates you been doing I've made it not.,1,2,335.1.0.36.116,2021-11-18 21:02:58,,,most_relevant,com.facebook.pages.app
gp:AOqpTOHZ-JwQ2VJ_immaduuYiGAiRDj2xQ-bZGGcFwnnqISNM3goq9xwpvC24t0kzE3vSwB_J13-5P4_FnB-gw,Jeff Nabors,https://play-lh.googleusercontent.com/a-/AOh14GiJSROL3ytDmp7QMXHKi4osIvdXUOY3n1uYhaC_GQ,This used to be a great addition to my business page. Now I get notifications but when I go check them there is nothing. Also instead of it clearing that it becomes a running tally....almost like it's laughing at you. At one point I had 300 notifications and 30 messages. Once I deleted the app and then reinstalled the app it came down to a manageable 15 notifications and 6 messages (I don't have any notifications or messages but I have learned to live with it....or maybe without it),1,29,333.0.0.36.116,2021-11-04 14:13:12,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGpaCf0k8e2se430q2ojATqrAEs7emINyDVAvojTk4JetitYZyktV8GCC8BfU4Adt7yfvntYh2y2fwRdA,Ashley Moorefield,https://play-lh.googleusercontent.com/a-/AOh14Gh4haqRYp96SgkvoCLWpjFYygTEzVEaqZdlRr15FA,"ABSOLUTELY TERRIBLE!!! I can't even invite guest to my event. The invite button is just gone. You can't schedule post. It moves slowly, has very little use, and doesn't notify you on time when you receive business messages. It also makes me verify my account with an emailed code everytime I log in even though I selected, ""remember this browser."" There is so much more I could say, but I'll stop at TERRIBLE.",1,390,326.0.0.26.118,2021-09-14 04:45:55,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGWGAmN1tyLKebHVEZbz2AZN2Xylaj0PlMxHcXBKtr4wQKD8TDK3z7wam4eY22_hvnZDcdK0UDOgrQIxg,Nicholas Michalek,https://play-lh.googleusercontent.com/a-/AOh14GjorYRiDJqwZeBTk4ziEqyhIsLMkJLtmytvQymoXQ,"So glitchy, it's more trouble than it's worth to even run a Facebook Page.",1,0,335.1.0.36.116,2021-11-28 19:21:38,,,most_relevant,com.facebook.pages.app
gp:AOqpTOGMZGCV4zmjYIXE59QpZQuEfIbDjputymyJCrlCS2naWNrJSoVMIl8N07Wqj8cu2kA74JiKSZbOT4ZHoQ,Make Art,https://play-lh.googleusercontent.com/a-/AOh14GjePYie8jlCvaRIpEUUCwARNoHw1Y5QZ19Miau9,Page buttons removed. Then I can't use the app to add them back. Just loads endlessly. Facebook is broken. Microsoft word did the same thing back in the day. People who were not focused on user experience kept adding to it until it became an awful tool that people hated.. same thing here. They keep adding features with no guarantee that they work.,1,108,326.0.0.26.118,2021-09-17 00:01:13,,,most_relevant,com.facebook.pages.app
gp:AOqpTOEZUbtgMkf9hYS9nwydYmOrMPmDZ2xyheEAU3gaphcQhp1nmq06RSRVcXfJpbTNBZ2xXhpyQr8-ODChMQ,James Busby,https://play-lh.googleusercontent.com/a-/AOh14GjPZfuTCiQyax9H7AOIm25MQwLBw_k3uVYEl5tYnw,March: haven't been able to switch pages. Your little icon in the corner is broken. Been broken for 3 months and can't switch pages. I have 9 pages and I'm stuck on one. Why refuse to fix this? April: Still broken. Facebook's developers clearly aren't actually working but screwing around and collecting a paycheck May: Cannot log in. Seriously? You're paying people to run this app? This is an absolute joke of a program,1,54,333.0.0.36.116,2021-11-05 14:29:00,,,most_relevant,com.facebook.pages.app
