content,neg
"Used to work pretty well for scheduling appointments and updating business stuff all in one place, but this new version isn't great. Appointments don't show up right and isn't giving my customers their reminders. I'd prefer the old version back cause this one is bad.",0.212
this app is buggy and finicky - not my favorite - but sort of forced into using it for 'streamlined' posts... expect a little hassle - but it'll work,0.212
Chat messages appear with (sometimes hours of) delay. No dark mode. Unable to view who liked posts.,0.211
stops working if not used for a while,0.211
"This app sucks but it's very handy to be able to run your business through here, even though every single update makes it worse.",0.211
App is glitchy and works horribly. I'm not sure how they thought this would help business owners in anyway. The platforms it posts too are different and don't play nice either. Certain posts will only work on one platform or the other. The app is more annoying than anything else.,0.21
it doesn't always open and work the way it's suppose to :(,0.209
ugh! it's too messy. it needs to be more streamline and easier to use. I might as well just use Facebook.,0.209
"Can No Longer see notifications. going to have to get something doneHas glitches, had to uninstall and reinstall. Has gotten worse! Won't show all comments, messages sometimes takes day to show up. Shows old comments that have been looked at, as new and needing attention. Piss poor.",0.209
great but having problems with Automated messages and Connecting my page with Instagram,0.208
I liked page manager so much better. Not sure why they changed it. This app has to many problems and doesn't seem like it's helping my business at all. To many complaints to list them all.,0.207
"Very buggy, missing facebook features, app inexplicably crops photos without telling you - and displays full photo during preview. Buggy. The interface is a nightmare. It's really bad.",0.207
"When you receive a message on your Facebook page, you can not access it. This has been an ongoing problem. Please fix this problem!",0.203
Doesn't work.... it auto resized photos. Doesn't work as a post scheduler like it should. Waste of time very frustrating. Make no sense does too much instead of letting the user decide how to format thing,0.202
This separate app is stupid. I can't even complete my event post without having to go back to the regular Facebook page to categorize it. Pretty disappointing.,0.201
very difficult to add photos to an album. you have to go through a dozen weird back way to do it.,0.2
This app keeps getting worse. I have messages that I have no idea how to access...I keep getting a pop up when I click on it. There is no message....this app is a terrible idea. It was easier to manage a page before Since the update my private messages keep disappearing,0.199
"ABSOLUTELY TERRIBLE!!! I can't even invite guest to my event. The invite button is just gone. You can't schedule post. It moves slowly, has very little use, and doesn't notify you on time when you receive business messages. It also makes me verify my account with an emailed code everytime I log in even though I selected, ""remember this browser."" There is so much more I could say, but I'll stop at TERRIBLE.",0.198
I created 3 posts today and scheduled them and not a single one posted. How disappointing.,0.198
"Why are the notifications not working?!!! This is beyond unacceptable. If you can't fix it, at least give us the option to go back to Page Manager. Ridiculous.",0.197
Takes upto 24 hrs to receive notifications. Constant error messages. Unless app,0.197
"This app sucks. It barely ever loads, it's complicated on mobile to edit events, send invites etc.. Facebook everything is pretty sucky",0.196
no comment because this app I don't know how to use,0.196
Frustrating when I don't get messages until over 24hrs after the customer sent it.,0.195
pictures cant get zoomed in. doesnt notify new messages sometimes. inconvenient,0.194
it's OK but there are UX screwups like asking me to install the new version each time I click on one of my 8 or so different pages. Clicking the tiny 5px wide X in the top corner repeatedly is really annoying. I can install it later - no need to harass someone to install it over their 4G data connection.,0.194
I don't like how you can't delete appointments after they pasted I put the wrong date and didn't realize intill after the date and time passed,0.191
U can't see who like ur post ... it's getting backwards,0.19
This thing is all messed up. Page manager was so much better. We miss out on many people that's trying to get in contact with us. Please fix this because it's absolutely horrible.,0.189
Crashes constantly making it hard to use,0.189
"This app is always broken, it freezes, doesn't upload things, and only shows posts from July or earlier, when i post every week. If you can, just use a computer because the AP is useless.",0.189
"Every update makes this platform a little bit worse. Keep it simple, stupid. My account has been locked for days and there is zero support to fix it",0.189
"So glitchy, it's more trouble than it's worth to even run a Facebook Page.",0.188
"Facebook is trying to make things easier, but really they are more difficult, especially with albums.",0.188
Used to be good but this last 12 months it has only gotten worse and harder to use by the day! Sucks when you have multiple business pages to manage and have invested tens of thousands of dollars into advertising over the years to gain over 10k followers on multiple pages and then you have struggle every day with a horrible app that used to be great...,0.188
this is so much more difficult to navigate than the original Facebook interface.,0.187
Page Mgr. much better. SUCKS! This limits text characters. Won't take as many characters as Facebook!! Improving...,0.187
"BEYOND TERRIBLE, and constantly going from bad to worse! Ever since Page Manager changed to this things have been awful. Can no longer view visitor posts in Business Suite, forcing me to have to constantly go back and forth between it and Facebook. With latest ""updates"", you can't view text in shared posts or extended text in my own posts (can only see included images, videos) and now the stamp showing when a post was shared/submitted has disappeared. PLEASE FIX OR BRING BACK PAGES MANAGER!!!!!!",0.187
A bit different & difficult. The simplicity of the other app is what I prefer.,0.185
"12-5-21 Photos had been fixed, thank you, but more bugs experienced. Date & times are not on posts. I can not share albums from the app, can't see reviews, won't let me see who liked or commented on a post. 9-30-2020 THIS NEW UPDATE IS TERRIBLE!!!! I HATE IT because: There's no way to upload to albums or even get to your albums. You can't even see your page likes count or followers count. The icons are confusing and is literally a jumbled mess!",0.184
"This was created by someone who has never ran a page on Facebook, or by someone who hates its users. The old pages manager app was so much better. This is half thought through, outright broken in places, and is genuinely miserable.",0.183
"I like that I can schedule a post in this app, but what annoys me is the delay notifications of messages. It wont appear in inbox you need to wait and refresh few times",0.183
"not the best, sometimes I don't get notifications until I open the app. it's also not good for seeing new followers. once you ""promote"" stuff nobody sees your normal stuff.",0.182
Useful but buggy. They recently have taken away a feature I felt was most useful. I can no longer ban trolls from a alternate account connected to my business. This needs to be brought back immediately! If a troll blocks your business your left defenceless for the next time they decide to unblock you. Or the same rules need to apply when unblocking someone on normal accounts so I have a period of time to ban them. Getting messages that are not exactly reportable to AI stndard isn't helping.,0.181
fix the bugs with the booking please!! I have to trick it and its super annoying,0.18
"The app is average but Business Suite's a dog at the best of times. It's a necessary evil, but wouldn't use it if I didn't have to.",0.18
I'm not a fan of this. I can't even find pictures I've uploaded over the last several years. It is not easy to navigate.,0.179
"Every update makes this app worse! So frustrating! Now post show no details or heading when you try to click on them. Continuously force closes. Videos won't play after posting them. Plus several other issues and bugs. 8 months ago this app was great! Leave it to Facebook and their amazing team to ""update"" it into the ground.",0.179
"Every update makes this app worse! So frustrating! Now post show no details or heading when you try to click on them. Continuously force closes. Videos won't play after posting them. Plus several other issues and bugs. 8 months ago this app was great! Leave it to Facebook and their amazing team to ""update"" it into the ground.",0.179
"In general, this app is well-designed and organized. My complaint is that it isn't responsive to activity on my Facebook page. For instance, it doesn't log shares of posts well... even though there is a tab for it. I get notified that my new post is being shared and total new shares are listed but the shares I can view are from posts a month ago... doesn't help me engage new audiences well.",0.177
tout moun se viv boko ginen ponyete la,0.176
OK when it works right. But sometimes completely losses posts somewhere. Leaving the person posting to redo them completely.,0.174
"This app is absolute trash! Give us Pages Manager back! Trying to make posts with photos, or upload photos to albums is terribly clunky and throws uploads into the wrong places. It's a nightmare for a page that keeps photos organized!",0.17
"Works decent enough, but competes with the actual Facebook app for priority and can make things difficult.",0.169
The last update was a disaster. I can't see others comments made on business photos. I have to go to my personal page to see them. It also doesn't notify me of messages received that need attention. It's really frustrating now.,0.168
"Each update is progressively worse. I have lost timestamps on messages then today lost them on posts. Can't see post contents, have to leave Business Suite, go to regular Facebook read post then back to BS to post to page. So much better when it was Pages.",0.168
"Downgraded to 1 star. Try opening App and it tells me ""Application does not have Permission for this action"" WHAT action, Open?? All permissions are active. Fails to open, useless 😡😡",0.167
When I want to share post in groups it does not share in groups just cancelled Kindly resolve this problem,0.167
"I LOVE this app, lets me manage all my apps in one place. BUT, sometimes when I'm Trying to get it to open it gives me the error page like the pages aren't there. I may be paranoid, but I feel like my security isn't safe. Been using Facebook since the day it became public. I know lots of things have changed and are still being worked on. I just don't want to lose anymore of my pages, I already lost 1 page because of a Facebook error.",0.167
More complicated to use now and the delete album option is missing,0.167
"I have tried repeatedly to create a post with a picture and I just keep getting the same error. This is ridiculous, who has time to try 20 plus times. Ughhhh",0.166
"Not in love with the business suite, it's difficult to get pictures to fit just right into the posts so they can be viewed properly on both FB and Instagram",0.166
"The layout is messy and the app is generally quite glitchy. Icons and various links don't appear fully and text sometimes disappears, including dates and times of messages and posts. The app also hides the text of your post if you've included an image with it, which isn't helpful.",0.166
We cannot make an assigned chat from mobile and thats bad for business i hope you fix it,0.164
I have problem to Unstol app in playing store move the blog from google Wabsite,0.164
perfect aside from it always kills the quality of photos. any high res photos of my service menu I upload gets turned to a pixelated nightmare no one can read. Notifications are also hit or miss and them not appearing makes it possible to miss clientele reaching out.,0.164
perfect aside from it always kills the quality of photos. any high res photos of my service menu I upload gets turned to a pixelated nightmare no one can read. Notifications are also hit or miss and them not appearing makes it possible to miss clientele reaching out.,0.164
Pages manager was much easier. This is difficult to keep up with.,0.163
I always have problems with the notifications and when I tried to schedule a post it never posted.,0.162
"2nd UPDATE: Ok, so apparently, I spoke too soon. FB has restored the ""like"" feature, but now, as others have mentioned, I don't appear to be getting all of my comments. The inconsistency of this app is concerning. UPATE: So, Facebook has finally replaced the ""Like"" feature to this app. THANK YOU SO MUCH!!!😁 Uuuh...Facebook, this update is not the business. I can no longer like my followers' comments. That's a big NO NO. Please rectify the problem.",0.16
"the app used to be easier to use, now it's sort of a mess trying to add IG to it. I no longer enjoy using the app.",0.156
"I really like our business page on Facebook! I really wish that Facebook would make it easier to cancel an accidental page boost. It happened once when I accidentally touched the boost button. Without my permission it linked my Facebook business page to my email, to my PayPal account, to my personal bank account on file with PayPal and charged my account. I had to go in to the settings and finally stop it. It was quite stressful and disturbing to see just how easy it was for that to happen.",0.156
March: haven't been able to switch pages. Your little icon in the corner is broken. Been broken for 3 months and can't switch pages. I have 9 pages and I'm stuck on one. Why refuse to fix this? April: Still broken. Facebook's developers clearly aren't actually working but screwing around and collecting a paycheck May: Cannot log in. Seriously? You're paying people to run this app? This is an absolute joke of a program,0.155
"I really like the page manager but it does have alot of glitches. It messed up my facebook, can't load pictures anymore, and my messages are all screwed up. Had to delete both and re download facebook to even get it to work and it is still messed up some. Really wish you can get the glitches out.",0.154
"I cannot create new events. Super frustrating. Delays in updates and messages too. I do LOVE the schedule post feature, when it works.",0.154
"This app kind of sucks. I'll make a post and it won't post it and then it's gone. So, I have to retype the whole thing again and it's a waste of time a lot of times.",0.153
"I hate it. I just want to see my business page feed like a regular feed and interact with others as usual, just under my business name. This app really wants to complicate my life. I hate it so much it gives me energy.",0.153
"Most of the time it works well. Sometimes I can't update my business hours, and that's frustrating",0.153
I try opening my posts tab so I can access my photos to place photos in certain folders and it just keeps closing out. WTH,0.152
Page buttons removed. Then I can't use the app to add them back. Just loads endlessly. Facebook is broken. Microsoft word did the same thing back in the day. People who were not focused on user experience kept adding to it until it became an awful tool that people hated.. same thing here. They keep adding features with no guarantee that they work.,0.151
"8 days now, no activity on my manager page. And notifications on my Facebook back goes blank when I click on post likes on my 2 manager pages. Help. If your not going to fix this problem, let me know and I will stop reporting it?",0.15
Please inhance notif of our pages. It can show nega respond to our clients. For the delay notif. Why isnt working well now adays.,0.15
"Welcome to the socialist network. Not user friendly is an understatement. Difficult to engage followers, posts needing approval should also direct you via a click vs instructions. Facebook openly limits organic followers from seeing posts unless you pay to advertise. They'll also openly limit your ads if they decide your views don't fit their agenda. This app is as worthless as the rest of their apps.",0.15
"Welcome to the socialist network. Not user friendly is an understatement. Difficult to engage followers, posts needing approval should also direct you via a click vs instructions. Facebook openly limits organic followers from seeing posts unless you pay to advertise. They'll also openly limit your ads if they decide your views don't fit their agenda. This app is as worthless as the rest of their apps.",0.15
"This app continues to be a big disappointment. Today, for instance I opened it and was unable to schedule any posts. This is very disappointing because I use this for client work. Please explain why this is happening and when it will be fixed!",0.15
"This app continues to be a big disappointment. Today, for instance I opened it and was unable to schedule any posts. This is very disappointing because I use this for client work. Please explain why this is happening and when it will be fixed!",0.15
Barely works. Can't see notifications or activity. Can't comment or see others profiles. This app is basically useless. Please give me something that works. I'll pay for it!!,0.149
Messaging really needs to be updated. We are losing a lot of money because of the glitching.,0.148
So extremely tired with the app trying to schedule posts instead of actually leaving my setting to post automatically. Fix it.,0.148
"Inbox messages doesn't work anymore, keep saying ""Something went wrong, please try again"". This is very serious issue since I can't communicate with customers or even read old messages...😤",0.147
Overall easy to use. It's great to have metrics to follow trends and activities on your page. The only negative is sometimes there are issues responding to messages. Not the best when it comes to the customer experience.,0.147
"I guess I don't mind the app (I liked Pages better) but ever since the recent update a few days ago (for Android), now my notifications won't load at all and when I click to try and see who has liked a post to invite them to my page, literally nothing appears and nothing loads. Ugh so frustrating!! As of 10/7/21, this is still a problem and hasn't been fixed. Please update this!!! 🙏🙏🙏🙏🙏",0.147
"You really had a great idea but the lack of improvement makes this app useless half the time. This is now my 3rd or 4th update on my review. At this point, I am having trouble uploading pictures for my business. If it's anything over 1 picture it fails. Aside from that I'm still not getting messages. I get the notification, but it's not there for a few hours. Is there anyway you can actually read my review and attempt to resolve these issues?",0.145
"I like it, but it runs slow and often photos will not post which makes business a little difficult.",0.144
I love this app its easy to use. Update this was back in 2013 I loved it then not so much now wish it would go back to being Facebook pages it was so much easier to use and I did not have to open my internet to find my spam folder witch I accidentally sent a conversation to and can't figure out how to recover it from the spam folder it's just a pain to work with.,0.143
"Great app; However, no matter what I do, I can no longer receive notifications for comments/messages. I have to log in several times daily just to check for them. Bit of an inconvenience. Would be great if this could be fixed.",0.143
"I use a tablet many times for writing blogposts and updating my page, but there is no setting that will let me use Business Suite in landscape mode. This is very inconvenient as I use my tablet as a laptop more often than not.",0.143
"I used to love using this app for posting and keeping up on pages for which I am an admin. But, the more it updates, the worse it gets! One of my biggest complaints is that when I see the comments on posts, it doesn't show what the post is that they are commenting on. I find it very difficult to locate, see, and edit posts. I wish that I could bring back an earlier version.",0.141
"Update- now appts don't work, but other features do. Like others have said, nothing was working right or consistently. No business messages, no appointment list, unable to post pics in albums. The Facebook app has always been horribly inconsistent about business notifications, and NEVER notifies me of business messages. The only working function that was useful was the post scheduler. I still found myself doubting it would work, so I was always checking to be sure it actually posted correctly.",0.141
"I find it very all overvthe pkace and hard to locate what i'm looking for i..e i get a notifiction i have a messsge, find and read medsage leave the app but still shows i have an unread message, the one i have just read. Annoying",0.14
This app used to be OK for what I needed it for. Then all of the sudden no way to schedule appointments anymore. This is the most frustrating part. The developers are adding things like services to appointments instead of actually fixing the bugs to allow you to even make those appointments with services. It's frustrating when there is more then one person using the app because we are now constantly overbooking because we can't create a schedule. PLEASE FIX THE ISSUES.,0.14
So far not good. Keeps saying I have messages and I check over n over but still nothing. I'm tired of it. This is a useless app. NOBODY INSTALL PLEASE. STAY WITH REGULAR FACEBOOK!!!!!!!,0.139
"Lol yeah this isn't ready for public use yet. Error messages everywhere, eyesore UI, riddled with bugs. Better off just using the main Facebook app for now",0.139
MAK worked on my 2002 Dodge Ram 1500 pickup truck for me. I needed front brakes and front rotors & ac leak and charge. He did an amazing job on my brake job. He installed the pads and rotors for me and he did a professional job on them. The truck stops smooth and the brakes respond quick and no sound at all like I was having because of the low brake pads. He is also did an ac leak check for me and found a valve stem was loose. He vacuumed all the Freon out of the system repaired the leak. Reggie,0.139
Frustrating because I don't get consistent message notifications anymore and have been having issues with booking appointments for the past few weeks!,0.138
Worst business experience ever Without any alerte nor justification they closed the page having a running adds The closed the page and closed the chat support,0.138
This is the only app I can use to manage my business page and it never notifies me of messages until like 6 hours later hurting my response time and making me lose customers. I'm wasting money on Facebook ads because I'm not able to reply in time unless I just watch the app 24/7,0.138
I find it difficult at times to find the notifications. Then ensuring a post actually posts to both Facebook and Instagram. Unless your already a social media guru this can be irritating. I do love the delay post for later feature so I can schedule out posts in advance for a day or two.,0.137
This app works well and is handy for quick posts. My only complaint is I can't find the item that has set the notification so it can't be cleared easily. It's probably a keyboard-to-ground error but I have chased too many notifications on the app.,0.137
Doesnt load messages or it doesnt load ALL the message. I dont get notifications like i should be whuch makes me miss potential clients. Keeps telling me i have an unread message but they are all looked at. Navigating through the site to edit ANYTHING is just a waste of time and when you do figure it out no one who views your page can find anything.,0.137
"It's always something with this app. Now I can't see what I post, I can no Ionger see who likes my content, and I get an error message that reads, Something went wrong. Try again later when I try to add my header photo. Please fix these glitches and it will be a good app.",0.136
"After recent updates, the app will no longer allow me to open my own business sites an answer customer questions, it says I no longer have permission to do this",0.136
This app is getting worse and worse. I am not receiving notifications. If I do not check it consistently I wouldn't know I received a message from a costumer. I have miss several important messages because of it. You can not interact properly with people who like your post. Is impacting more my business than helping.,0.136
"Glitchy, the app keeps refreshing so hard to edit things with the app",0.135
"new update sucks. the new calendar feature isnt helpful, the suggested future post time keeps reverting even after I change it, and only schedules IG posts not FB posts. Bring back Pages Manager 😭😭",0.135
"new update sucks. the new calendar feature isnt helpful, the suggested future post time keeps reverting even after I change it, and only schedules IG posts not FB posts. Bring back Pages Manager 😭😭",0.135
As of yesterday my push notifications are no longer coming thru my phone. I have to open the app to check for my messages. Instagram direct also no longer comes through. I never had any issues until yesterday!!!,0.134
"Please fix the bugs in this app! Why do posts fail to upload randomly? And why will it not work for weeks and months at a time? I've cleared cache, Uninstalled and reinstalled, searched the web trying to find a fix for the issues I've been having (there's no answers out there). Then it magically starts working again, only to be disappointed later when it decides to stop working. Seriously fb, get it together and fix this. If you are going to force us to use it, make sure it works correctly!",0.134
awful interface. posts hardly EVER go though. extremely difficult to use. have tried to posts simple hours of operation updates and post never posts. it seems that when I use the business suite nothing posts. I do not have the Facebook app on my phone and feel as though I am being forced to use that OR boost my posts though Facebook ads. I sit here and wonder what the heck is the point of this app....it must be to frustrate business owners,0.133
I can't even upload photos from the app because it won't let me give permission to access my photos through the app. I even tried allowing permissions in my phone's app settings but it's still blocked. The app is useless to me except to edit posts I create on the desktop. This stinks! My app is fully updated and my phone is a newer one.,0.133
App will not allow login. No one will reply about issue.,0.133
"Worst app ever made on earth,,I just activated a 2 step authentication for my business page and when I comfirm with the pin and my password they keep taking me back to square zero, can't use my business page again right now just because of that matter,, and when I turn it of nothing is working, tried a million times now and tired...I regret turning on the 2 step authentication and mostly I hate this so called business suit now",0.132
"ok, so some of the options just take you to the main facebook app. make it more versatile, maybe even add features you cant access on the main facebook. hell even add a pages messenger in the app where it even has the bubble. add some crazy stuff and give me a real reason to have the appEDIT:1/23/2020 still no real reason to have it....",0.131
It was supposed to replace pages manager. As it turns out you can only manage one page and even that is terrible.,0.129
I am not a fan of this app messaging makes it very difficult to communicate with customers because you're doing it twice almost. And if you don't pay attention you will miss messages because sometimes they don't come through. Secondly I don't like the format but that's just me.,0.129
When I originally downloaded this app it was great! Always notified me of comments and messages but over the past year it's stopped doing that! I'm now always missing messages and comments so replying late to customers. My notifications are on iv checked. Its a complete waste of time this app now for me. I have to constantly self check my page for updates on messages and comments.,0.129
"Convenient for those who don't always have a PC available, but messages sent to the inbox NEVER seem to appear on the mobile app. Refreshing does nothing. I'll get a notification of the message, go to check it, and it won't appear. Super frustrating as it inhibits my ability to respond and then lowers my response time.",0.129
"I got Business Suite to help me manage my Facebook business page. But thanks to recent updates, it's become an aggravating, useless tool. The worst thing is that I'm not being notified of direct messages. Since Facebook uses the length of time it takes for us to reply in its analysis of our responsiveness, those notifications are crucial. I also don't understand why Facebook decided to remove the date and timestamp from those messages, along with our ability to see commentors' profiles.",0.128
notificaTion didnt show up.. hard find to show if you gave messages from my customers. another i was tag at risk because of an inauthentic behavior been in this up for 9 yrs only now that i encounter this one. this suck,0.128
"I got Business Suite to help me manage my Facebook business page. But thanks to recent updates, it's become an aggravating, useless tool. The worst thing is that I'm not being notified of direct messages. Since Facebook uses the length of time it takes for us to reply in its analysis of our responsiveness, those notifications are crucial. I also don't understand why Facebook decided to remove the date and timestamp from those messages, along with our ability to see commentors' profiles.",0.128
"Stupid app. I can't open the app even my network connection is in great condition. If there is 0, i wouls give 0.",0.128
Works well most of the time but not easy to use. Can't see all of the LIKES sometimes,0.127
"It's not working since I updated it today. Until now, Business suite is not working. I regret updating my Facebook Page App to this version. Such a waste!!!",0.127
This app will not and has not allowed me to post pictures for at least a year. My phone is not old and this app is solely responsible for losing business as I cannot advertise. Please stop trying to fix things that aren't broken. The original pages manager app worked fine and didn't take so long to upload anything. This app has become muddy and inefficient. You used to be able to post pictures and statuses no problem. Not whatever this is.,0.126
Just downloaded the app and oh my God is it messed up. The main page just keeps spamming reload and if you don't time it right you can't move around the app. Once it's fixed I'll raise the rating.,0.126
"WHY was this changed so much?! Can't see the date/time of posts, if post is too long and has a ""see more"" link, when you click on it you can't see anything that was written, let alone the additional text. If you click on someone who commented or reacted you can't see their FB profile page anymore. You can't see who shared a post. And I'm still constantly having to force stop the app so it will fully load. Congratulations, you made it worse without making anything better.",0.125
"What happened to the away message? It doesn't send. I also don't seem to be able to change what time periods it sends out. People just think I'm ignoring them or I'm forced to deal with a bunch of stress on my days off so they don't get all pissed. Otherwise, i like the app. It helps keep me organized.",0.125
"There is a problem with the application, I hope you will fix it as soon as possible. I can't see who has interacted with my Page's posts and I can't send invites to like I can't see who's reacted to my Page's posts . This is an ERROR.",0.124
"I can't invite customers who like my posts to like my page, the invite button is there but when you click nothing happens. Also, you can not upload more than 3 pictures with a post. Sometimes notifications are there and sometimes they are not. Definitely would prefer to switch back to pages manager app. Please fix the glitches! You are a multi million dollar company, I don't see why these things are not taken care of!!!!!",0.124
It's a problem for business! It randomly starts working and it doesn't show my messages. How can I have bookings if I can't even read any messages? This app is worst than pages manager! The only thing I like is how it's connected to my Fb page and IG page. I can use the app for both platforms.,0.123
I feel the suite is not user friendly. The look of the pages are a bit much. I would rather it be separate.,0.122
"Inconvenience it absolutely does not make posting to a page easier. In fact it makes things twice as complicated as it wants to constantly post in different locations/platforms. Wants to turn everything into a useless Instagram video. Posts out of sequence, omits post details. FB needs to stop over complicating things by trying to reinvent the wheel.",0.122
I am not able to post new jobs . The job section page is not opening. Kindly sort it . Thanks.,0.122
"I've been using it a few months now and am pretty satisfied!!! My only problem has been that my messages sometimes show up late, but that could be a problem with my phone too. Overall a good app",0.122
"Inconvenience it absolutely does not make posting to a page easier. In fact it makes things twice as complicated as it wants to constantly post in different locations/platforms. Wants to turn everything into a useless Instagram video. Posts out of sequence, omits post details. FB needs to stop over complicating things by trying to reinvent the wheel.",0.122
"pretty hard to understand, buh still better",0.122
"I think it's stupid we even need this app, but if Facebook absolutely must separate itself for page management, then I suppose this app will do. but personally, I still think it's freaking ridiculous that Facebook has made us download yet another app our phones don't need just to do something we should be able to do on the main page or in the main app like we used to.",0.121
"Please STOP updating this app! Every time you do, it messes things up. I scheduled posts for Facebook and Instagram tonight and the ""best times"" suggestions are back, separate ones for each platform this time. What a mess! Instagram scheduled, Facebook isn't showing up at all...but I learned from last time that doesn't mean it's not going to post. Tags don't work. Reach is almost non-existent. You want businesses to pay for ads, but that's not much better!",0.121
"New updates make almost everything more streamline. Definitely easier to see and respond to comments and interact with your audience. switching between pages is easy. Editing is now nothing like it use to be, and I had to literally ask for help. (omg how aweful) please make a tutorial or something? a run through, a stupid paperclip that makes horrible dad jokes??",0.121
Sucks so does fb none of their apps are compatible with their platform and having them all on one phone it can't decide which one to use and then you lose total functionality of whatever you are trying to do.,0.12
Sucks so does fb none of their apps are compatible with their platform and having them all on one phone it can't decide which one to use and then you lose total functionality of whatever you are trying to do.,0.12
Newer had a problem until now after latest update... can't post and now is christmas post on every day... you need to fix this!,0.12
